class_id,pixel_count,weight
0,704950,1e-04
1,286002726,1e-04
2,81359604,1e-04
3,94111150,1e-04
4,83752079,1e-04
5,17818704,1e-04
6,75629728,1e-04
7,2036416525,1e-04
8,336090793,1e-04
9,39065130,1e-04
10,11239214,1e-04
11,1260636120,1e-04
12,36199498,1e-04
13,48454166,1e-04
14,547202,1e-04
15,17860177,1e-04
16,3362825,1e-04
17,67789506,1e-04
18,499872,1e-04
19,11477088,1e-04
